"twitter","avatar","updatedAt","createdAt","id","name","ownerId"
"lockhead","content/avatars/johannes-koch/avatar.png","2024-06-16T20:29:46.476Z","2022-06-01T07:00:00.000Z","01G4F10SC04QEH5J1AY5YXM59V","Johannes Koch","1"
"rainmaker2k","content/avatars/kah-tang/avatar.jpg","2024-06-16T20:29:23.408Z","2020-09-29T10:00:00.000Z","01EKCMVY806QZAGMH35C6ZPSQP","Kah Tang","1"
,"content/avatars/cdk-construction-zone/cdkdevlogo.jpg","2024-06-16T20:29:32.146Z","2021-01-04T09:00:00.000Z","01EV69ZSM0JRM6FTDDN47TY3J9","NetaNirS, emeshbi, rchrdbyd","1"
"wongcyrus","content/avatars/cyrus-wong/avatar.jpg","2024-06-16T20:29:44.397Z","2022-05-08T16:00:00.000Z","01G2J6CA00K4RY23XZFM12C3WP","Cyrus Wong","1"
"lxztlr","content/avatars/alexander-zeitler/avatar.jpg","2024-06-16T20:29:24.344Z","2020-10-07T20:00:00.000Z","01EM2ACAG0BEA8SJMW0FQCZ56X","Alexander Zeitler","1"
,"content/avatars/dakota-riley/avatar.jpg","2024-06-16T20:29:44.032Z","2022-04-12T07:00:00.000Z","01G0E94VC0VYVB0VV2NSDYANHP","Dakota Riley","1"
,"content/avatars/elad-ricardo/cdkdevlogo.jpg","2024-06-16T20:29:29.067Z","2020-09-29T10:00:00.000Z","01EKCMVY80ZG21VVTPHC1NVME1","Elad Ben-Israel & Ricardo Sueiras","1"
"rchrdbyd","content/avatars/richard-h-boyd/cdkdevlogo.jpg","2024-06-16T20:29:29.656Z","2021-01-04T09:00:00.000Z","01EV69ZSM0F1N6FP6WGR7QXXVV","Richard H Boyd","1"
"matthieunapoli","content/avatars/matthieu-napoli/avatar.jpg","2024-06-16T20:29:49.162Z","2023-01-02T17:00:00.000Z","01GNSPSYM0R475EB51022QC06K","Matthieu Napoli","1"
"darkosubotica","content/avatars/darko-mesaros/avatar.jpg","2024-06-16T20:29:20.553Z","2020-09-17T16:00:00.000Z","01EJECPG00KW58NJZ8QRKZX0F6","Darko Mesaroš","1"
"ryands1701","content/avatars/ryan-dsouza/avatar.jpg","2024-06-16T20:29:22.798Z","2020-09-27T17:00:00.000Z","01EK883HM0Q4RJQD636VHPK6XG","Ryan Dsouza","1"
"adam_ruka","content/avatars/adam-ruka/avatar.jpeg","2024-06-16T20:29:24.988Z","2020-10-07T21:00:00.000Z","01EM2DT640JRTJTGMRB03XMDA8","Adam Ruka","1"
"rkvsraman","content/avatars/rkvsraman/avatar.jpg","2024-06-16T20:29:33.291Z","2021-03-25T13:00:00.000Z","01F1MQGR402EMABB3ZJTDFCAWK","RKVS Raman","1"
"rix0rrr","content/avatars/rico-huijbers/avatar.jpeg","2024-06-16T20:29:19.453Z","2020-09-17T16:00:00.000Z","01EJECPG000WDPBVZHDV3M0PH0","Rico Huijbers","1"
