"content","banner","categories","updatedAt","createdAt","id","url","ownerId","title"
"This repository curates the best cdk8s resources.",,"[{""S"":""Awesome""},{""S"":""Examples""},{""S"":""cdk8s""}]","2024-06-16T20:29:55.846Z","2020-09-17T17:00:00.000Z","01EJEG4BM0FYAQ1DG6H4Q5RGJZ","https://www.cncf.io/webinars/end-yaml-engineering-with-cdk8s/","1","Awesome cdk8s"
"Beginner AWS CDK workshop that build a serverless solution step-by-step. Supports all languages",,"[{""S"":""AWS CDK""},{""S"":""Workshop""},{""S"":""Typescript""},{""S"":""Python""},{""S"":""Java""},{""S"":""C#""}]","2024-06-16T20:29:55.790Z","2020-09-17T16:00:00.000Z","01EJECPG005P3X3ZE6ADP30CW9","https://cdkworkshop.com","1","AWS CDK Workshop"
"Dockerfile and GitHub action for publishing JSII packages. Package building and publishing to npm, PyPI, NuGet and Maven (GitHub)",,"[{""S"":""jsii""},{""S"":""Tools""},{""S"":""Typescript""},{""S"":""Python""},{""S"":""Java""},{""S"":""C#""}]","2024-06-16T20:29:55.912Z","2020-09-17T18:02:00.000Z","01EJEKNWE03FFHBMQGSRP07RYQ","https://github.com/udondan/jsii-publish","1","jsii Publish"
"Easily manage AWS CDK Dependencies",,"[{""S"":""Tools""},{""S"":""Typescript""},{""S"":""AWS CDK""}]","2024-06-16T20:29:55.977Z","2020-09-17T18:06:00.000Z","01EJEKX6T0681V578E3CDMV71J","https://github.com/cdk-dev/bump-cdk","1","Bump CDK"
"CDK snippets for Python is a collection of code snippets for vscode (Visual Studio Code) to boost your productivity. This is the only extension at the moment of writing this which supports writing CDK code in Python.",,"[{""S"":""Snippets""},{""S"":""AWS CDK""},{""S"":""Python""},{""S"":""vscode""}]","2024-06-16T20:29:56.045Z","2022-05-18T20:00:00.000Z","01G3CC2YG0G5S7MHKP0128RBGN","https://marketplace.visualstudio.com/items?itemName=sameeramin.cdk-snippets-for-python","1","CDK Snippets for Python"
"Automated diagrams for CDK infrastructure.",,"[{""S"":""Tools""},{""S"":""AWS CDK""}]","2024-06-16T20:29:55.966Z","2020-09-17T18:05:00.000Z","01EJEKVC70VVAW3PPSTAWWAKFN","https://github.com/pistazie/cdk-dia","1","CDK-Dia"
"In this video, the creators of cdk8s show you how to define your first cdk8s application, define reusable components called “constructs” and generally say goodbye (and thank you very much) to writing in YAML.",,"[{""S"":""cdk8s""},{""S"":""Video""},{""S"":""Webinar""}]","2024-06-16T20:29:55.901Z","2020-09-17T18:01:00.000Z","01EJEKM1V063JRT0563ZN39VYE","https://www.youtube.com/watch?v=PdR3SlkwjLM","1","AWS Cloud Containers Conference - CDK for Kubernetes"
"GitHub Action for automating cdk version management",,"[{""S"":""Tools""},{""S"":""Typescript""},{""S"":""AWS CDK""},{""S"":""Github Action""}]","2024-06-16T20:29:55.945Z","2020-09-17T18:05:00.000Z","01EJEKVC70GMYD55G57SYGA496","https://github.com/cdk-dev/bump-cdk-action","1","Bump CDK (Github Action)"
"Collection of CDK Snippets as a WebStorm plugin with some handy CDK snippets to make your life easier.",,"[{""S"":""Snippets""},{""S"":""AWS CDK""}]","2024-06-16T20:29:56.011Z","2020-10-16T17:00:00.000Z","01EMS5N6M0PBE4XEHSR5WM4VAC","https://www.notion.so/CDK-snippets-for-Webstorm-c92cc65857b74495bbc01b5a85e4d4e2","1","CDK Snippets for Webstorm"
"In this curriculum, you acquire the knowledge and skills to start using AWS Cloud Development Kit (AWS CDK) to deploy cloud resources at scale. You learn about the basic building blocks of the AWS CDK, Apps, Stacks, and Constructs; and you learn how to use them to build an environment in the cloud.",,"[{""S"":""AWS CDK""},{""S"":""Workshop""}]","2024-06-16T20:29:55.801Z","2020-09-17T16:00:00.000Z","01EJECPG0042PDTGAVB2WHTPJB","https://www.aws.training/Details/Curriculum?id=64511","1","AWS Cloud Development Kit Primer"
"Update versions of your packages and CDK version in one command. Works with TS and Python",,"[{""S"":""AWS CDK""},{""S"":""Tools""},{""S"":""Typescript""},{""S"":""Python""}]","2024-06-16T20:29:55.890Z","2020-09-17T18:01:00.000Z","01EJEKM1V0QADVFZHTY9Y7XACG","https://www.npmjs.com/package/rocketcdk","1","RocketCDK"
"Easily improve the security of your web applications with aws firewall factory. Protect your valuable assets with seamless WAF deployment, updates, and staging, all efficiently managed centrally with Firewall Manager.","content/banners/aws-firewall-factory/image.png","[{""S"":""AWS CDK""},{""S"":""WAF""},{""S"":""Web Application Firewall""}]","2024-06-16T20:29:56.652Z","2024-03-25T07:00:00.000Z","01HST6HAC0XPDWGJR3AK4MQBZC","https://github.com/globaldatanet/aws-firewall-factory","1","AWS Firewall Factory"
"Join Taylor Dolezal, Anubhav Mishra, and CDK for Terraform contributor Sebastian Korfmann as they provision infrastructure resources in Python and TypeScript using the CDK for Terraform.",,"[{""S"":""cdktf""},{""S"":""Webinar""},{""S"":""Typescript""},{""S"":""Python""}]","2024-06-16T20:29:55.868Z","2020-09-17T18:01:00.000Z","01EJEKM1V04HEJPJ56R7HKC3RV","https://www.youtube.com/watch?v=p20N5X8AgUM","1","HashiCorp Live CDK for Terraform"
"Awesome collection of useful links for the AWS-CDK",,"[{""S"":""Awesome""},{""S"":""Examples""},{""S"":""AWS CDK""}]","2024-06-16T20:29:55.835Z","2020-09-17T17:00:00.000Z","01EJEG4BM0TACWJM4SAFAS5ZMR","https://github.com/kolomied/awesome-cdk","1","Awesome CDK"
